"Util already initialized","Util already initialized"
"Util not initialized","Util not initialized"
"File does not exist","File does not exist"
"%field is a required field","%field is a required field"
"User with email %email already exists","User with email %email already exists"
"User is not logged in","User is not logged in"
"Processor not found","Processor not found"
"Malformed JSON POST data","Malformed JSON POST data"
"Error processing endpoint","Error processing endpoint"
"Bucket does not belong to you","Bucket does not belong to you"
"Invalid email or password","Invalid email or password"
"Cannot change %field","Cannot change %field"
"Invalid type","Invalid type"
"Extract all translation strings into CSV","Extract all translation strings into CSV"
"<info>Extracting phrases</info>","<info>Extracting phrases</info>"
"<info>Phrases extracted to %file</info>","<info>Phrases extracted to %file</info>"
